*wormbook
author	chapter	editor	book	publisher	date	issn	doi	url
Zarkower, David 	Somatic sex determination	The C. elegans Research Community	WormBook	WormBook	February 10, 2006	1551-8507	10.1895/wormbook.1.84.1	http://www.wormbook.org
Ellis, Ronald//Schedl, Tim	Sex determination in the germ line	The C. elegans Research Community	WormBook	WormBook	April 4, 2006	1551-8507	10.1895/wormbook.1.82.1	http://www.wormbook.org
Haag, Eric S.	The evolution of nematode sex determination: C. elegans as a reference point for comparative biology	The C. elegans Research Community	WormBook	WormBook	December 29, 2005	1551-8507	10.1895/wormbook.1.120.1	http://www.wormbook.org
Meyer, Barbara J.	X-Chromosome dosage compensation	The C. elegans Research Community	WormBook	WormBook	June 25, 2005	1551-8507	10.1895/wormbook.1.8.1	http://www.wormbook.org
Hubbard, E. Jane Albert//Greenstein, David	Introduction to the germ line	The C. elegans Research Community	WormBook	WormBook	September 1, 2005	1551-8507	10.1895/wormbook.1.18.1	http://www.wormbook.org
Strome, Susan	Specification of the germ line	The C. elegans Research Community	WormBook	WormBook	July 28, 2005	1551-8507	10.1895/wormbook.1.9.1	http://www.wormbook.org
Kimble, Judith//Crittenden, Sarah L.	Germline proliferation and its control	The C. elegans Research Community	WormBook	WormBook	August 15, 2005	1551-8507	10.1895/wormbook.1.13.1	http://www.wormbook.org
Greenstein, David	Control of oocyte meiotic maturation and fertilization	The C. elegans Research Community	WormBook	WormBook	December 28, 2005	1551-8507	10.1895/wormbook.1.53.1	http://www.wormbook.org
L'Hernault, Steven W.	Spermatogenesis	The C. elegans Research Community	WormBook	WormBook	February 20, 2006	1551-8507	10.1895/wormbook.1.85.1	http://www.wormbook.org
Schaner, Christine//Kelly, William G.	Germline chromatin	The C. elegans Research Community	WormBook	Worm'ook	January 24, 2006	1551-8507	10.1895/wormbook.1.73.1	http://www.wormbook.org
Reinke, Valerie	Germline genomics	The C. elegans Research Community	WormBook	WormBook	January 20, 2006	1551-8507	10.1895/wormbook.1.74.1	http://www.wormbook.org
Gonczy, Pierre//Rose, Lesilee S.	Asymmetric cell division and axis formation in the embryo	The C. elegans Research Community	WormBook	WormBook	October 15, 2005	1551-8507	10.1895/wormbook.1.30.1	http://www.wormbook.org
Evans, Thomas C.//Hunter, Craig P.	Translational control of maternal RNAs	The C. elegans Research Community	WormBook	WormBook	November 10, 2005	1551-8507	10.1895/wormbook.1.34.1	http://www.wormbook.org
